state (Emission order)	H3K27ac	H4K5ac	H3K18ac	H2BK5ac	H4K91ac	H2BK12ac	H2BK15ac	H2AK5ac	H2BK20ac	H2BK120ac	H3K4ac	H3K14ac	H3K23ac	H3K56ac	H3K23me2	H4K20me1	H3K79me2	H3K79me1	H3K36me3	H3K9me3	H3K27me3	DNase	H2A.Z	H4K8ac	H3K9ac	H3K4me3	H3K4me2	H3K4me1
11	0.0025891682587896275	0.004367499751797376	4.331640723982251E-4	6.966915767629702E-4	1.0760953242647466E-4	8.032010972824106E-5	3.775853422023192E-5	5.727718971422941E-4	6.840321469611198E-5	2.7299509089274705E-4	3.7165673358680555E-4	3.8930526288435046E-4	0.0017592649498721327	0.0020972013367917377	0.0011643148689864699	0.055335646897463356	0.2985825512502686	0.13960229639484584	0.027216897288859364	0.002867537944139227	9.808722964213147E-5	0.002569901762292074	4.8709520055012647E-4	0.010142500824423095	0.001415543335528093	3.8403680775345585E-4	0.01001446627596141	0.01677249299376934
12	0.0012297483607322823	0.0022283408205073353	5.325111585700706E-4	0.001788500737646037	3.24580044761122E-4	5.408860452553587E-4	4.0516449614291957E-4	0.0014760862849224861	2.4548229419629346E-4	6.960640920099091E-4	0.001095658656715436	0.001713216255851027	0.0032797349785550654	0.0026395525279677297	0.0017170184959370831	0.012173735991842325	0.014117617516585875	0.04043970778977226	0.004054077883183861	0.001429400695884814	8.20795092228442E-5	0.0020258111468796506	4.8553655352249293E-4	0.007172490510618946	9.431143092868607E-4	1.5483584344127438E-31	3.969878908292982E-4	0.004563050143368708
13	0.00168406455297462	0.008484953741338355	0.006289269597981849	0.005035426827522572	0.01353805941163072	0.017223003637470743	0.014169497710791552	0.007845705021806261	0.021348219586031947	0.012422876792977213	0.005900538314933545	0.0024518580549973555	0.0019295877445296295	0.0031451219418620283	0.0016761416383799749	1.0299151917140484E-6	5.109319766430948E-4	4.28964252684704E-4	6.302745516600086E-4	0.002871167916406552	3.0821734197364624E-4	9.990113543467192E-4	0.003856655607399957	0.002968232148155247	1.5315584256584127E-4	2.9878672246757234E-5	3.8174291308875507E-4	0.005730279443104839
14	0.02903252790060415	0.019697901625789056	0.006259169302794294	0.09483734668557424	0.01770799455571766	0.022635701774730958	0.012040861074874933	0.018853973892319905	0.01023197185601879	0.005865760380686818	0.015335183253870729	0.017069209336693935	0.03163290745639415	0.01529510868032151	0.022016099642395502	0.35704369695672217	0.2107695987160492	0.38641466540585767	0.9086285802318336	0.011327069295699781	0.004464005628905216	0.02218239432588726	0.0030362234245175593	0.09770442860162044	0.028188737171895482	3.43369565777777E-4	0.016760288212278533	0.049958385071801
15	0.041229849979844115	0.03664770762127141	0.026915730034993115	0.09613809045048935	0.022701696484566505	0.02944038387083827	0.017676335624834807	0.05836067467307951	0.008146062501473341	0.008312719879486586	0.02443257069902543	0.035878258890373084	0.06182124981884575	0.016192792927846807	0.018950783860304396	0.6145439814431775	0.8493352105222749	0.7010257422994554	0.15337074831382969	0.009137014973753878	0.004726355747856817	0.021725169613551452	0.0020158985589194636	0.08233078944262674	0.035738935748801215	6.345903011604753E-4	0.16520281168105336	0.2984368214536244
16	0.3705436300840133	0.34537233130049483	0.347275090745268	0.5374964291940975	0.40487816948089017	0.43708927709269135	0.2864343038274218	0.45800326312922957	0.17501526901208356	0.12466465914160352	0.2256141320529762	0.19878487515517052	0.18104148263176414	0.04822146526291572	0.05166588599570814	0.44621018978604204	0.5716253906018286	0.7657856626595697	0.147983547311144	0.009080492559517489	0.010674466721041451	0.10975246860815534	0.004482102472237202	0.1691174533837613	0.11778480534291101	0.020528274657755422	0.49674240101757805	0.8046508706597867
17	0.9663370220610619	0.9579532858529445	0.9453451683825349	0.9830160407039712	0.9712785859739744	0.9218860855942574	0.3863266686637913	0.6950769080289485	0.8624655017074581	0.8496011838601801	0.7120238070541918	0.4103597603274906	0.24397109611798537	0.4195753547815811	0.12340938533036033	0.03541963077396239	0.08171702359030981	0.13437744740147317	0.030929560228913647	0.010433519161203334	0.02900376373404475	0.3502279289728089	0.06597541674363809	0.2460474128680139	0.29867582259179926	0.11090670740141091	0.851320077211549	0.9344094522200804
18	0.9519780839397781	0.6683319192352345	0.3315309137035437	0.42151805237762174	0.19793588226040518	0.17020479411121378	0.02086737637629435	0.047116761308886736	0.12388052741726184	0.15920824943409073	0.05057118221344601	0.02799742705581359	0.014663765366803756	0.06525527951852857	0.03386765300658434	0.005930566204356288	0.015143334167121323	0.02067465514754793	0.01854537640174787	0.0014706043537731882	4.848339898403571E-4	0.5567576388434456	0.03840697331624484	0.0620116800847749	0.09869395978513816	0.10564719802886625	0.9584132673960062	0.5760468365924138
19	0.7957764562261282	0.6673802163741662	0.5269230541020774	0.6861172918892793	0.6320849864570784	0.4469603517505095	0.06140435879514733	0.19660093566064482	0.5259443555251544	0.5595141765268891	0.2345364989422835	0.06681028838125679	0.03747728554967234	0.08715641768093538	0.009425232264736884	7.443415849771489E-4	0.007873677487549068	0.014420316000513416	0.029176773219944177	0.02724932687434373	0.0011552369996291449	0.06341787814987523	0.028795423351527225	0.026308841926612387	0.013477442889801152	0.00114453356707819	0.2940132021176733	0.5445381013439513
20	0.49670268473642526	0.6208688559390866	0.6887754472043647	0.6220323021899852	0.7182320137871437	0.7347485006494284	0.3999975671721909	0.30899154290582015	0.47967788950227896	0.30021329956238635	0.2890723294840849	0.22901923068463184	0.10794996233171607	0.05790917798948335	0.07195060414524283	0.02522627231933771	0.021438143515595313	0.06565165169495199	0.0017169000583003443	0.005190286779834548	0.10582477739556395	0.398196557525379	0.16333150447557954	0.30864311489841567	0.13726135739826398	0.04783440576086251	0.8954129637965669	0.9531624438905514
21	0.40944527567070105	0.34510144296210615	0.05180416911391218	0.049537189267563654	0.020535086727392793	0.014193740151300541	0.0021843348034037363	0.005434402795607051	0.022480946194161088	0.04342849647162098	0.007250161575549903	0.0024455710214916064	0.0018620764949885205	0.007025895161736264	0.0018553008927368994	3.487059662706456E-4	0.003845901896231358	0.0025748329372829028	0.012866560254413661	0.007298753701421802	4.5620062621135626E-5	0.12007087887273918	0.00424493003277756	0.0022464593122861897	0.00212359971057282	5.607063845575233E-4	0.16979236347462515	0.16501681388282
22	0.019580245369473614	0.07019059346847961	0.1359288730938982	0.1840691534667824	0.35363926740804064	0.38840138028563237	0.22938977323134604	0.17946959976890092	0.36725311574068087	0.17601485522716326	0.11598016991532605	0.05616240832504381	0.03887277114136802	0.01930567269043817	0.013204023980833802	9.039414421794744E-4	0.010545608528692699	0.008117671432544424	0.008313828116087038	0.023110126142486552	0.014769030505534242	0.007091723770668266	0.024492134919985933	0.03620096157851784	0.0038345589032218476	1.943452871390595E-4	0.0028895268714985147	0.04798059253053546
23	0.09769294388968379	0.15953630124912627	0.2695697849663027	0.24670222219533477	0.37325445597969936	0.3984230984996357	0.20993138175404172	0.16111974321305111	0.24675418270053193	0.12545156921245665	0.12324725408334482	0.11475883083267338	0.0576939143312228	0.018766536174381114	0.00952531739807658	0.008213937870219958	0.012954437725624287	0.03128273021344397	0.002639251578183873	5.621858560868919E-4	0.026330629832500202	0.05513330141601874	0.043161858762380545	0.11939584008563744	0.02013463964653484	3.9855694974610834E-15	0.1808292982506127	0.8039470857033886
24	0.019031473343321396	0.017231336863133915	0.02702091878961481	0.016760085954697804	0.027119393895441223	0.025862981037552604	0.018312214056495645	0.014297359729567506	0.01245655533767696	0.009210196278977102	0.010717869212733646	0.015182059427705556	0.006692646004219406	0.0035563756051252677	0.001608068180383575	0.005849966505229303	0.001540669141319723	0.006643891912428158	0.0017543900970479727	7.214010752461308E-5	0.006949278598348813	0.05450605330081784	0.013142368225330603	0.0491226642177621	0.0038986923550954396	1.4925200228615322E-62	0.043379458440153916	0.42639769333660243
25	0.218652546412175	0.11914882697187637	0.09190986393105792	0.07088385134579125	0.048971892887065584	0.06980567924218214	0.028777170508609607	0.030662636708710278	0.034480892711771446	0.021738384376490248	0.020745024827435843	0.023543047217267448	0.012637305373463317	0.011881365369914933	0.02267821506753927	0.026077865528616833	0.006241696213878071	0.04276998551493954	0.006340034710444075	1.361972976698779E-4	0.01364192562495489	0.4713776150799884	0.040401994834504504	0.0737632280868692	0.028667885849439953	0.013363704090027231	0.8391250956678449	0.6666638320830374
26	0.0905237277614302	0.2503329954838987	0.21720714200094376	0.2104958625253851	0.21998939450728033	0.30814616213249346	0.18895245737009428	0.08243518483828398	0.13006844039112608	0.06659977618151804	0.090134206484029	0.10494474353572501	0.05677798105000485	0.030518185200538454	0.034579355663035355	0.013135386121108195	0.013495149820228486	0.018443363765302586	0.0020778367329638186	0.019158619811349878	0.02906560742808089	0.46679951921861906	0.24846275166902992	0.2772479481132627	0.057355017431622676	0.009190542731846095	0.4173611666945469	0.5687399779121818
27	0.15397434000935628	0.4038798906057833	0.6421585017108633	0.7466118064408387	0.9089324006705245	0.9098662108741833	0.546693356093843	0.6167499833290307	0.8516130272604046	0.598930743796986	0.4968169071768097	0.23218647771888265	0.1410301320723311	0.0575380828283666	0.033411912416555986	0.009098411443504352	0.05717864527378235	0.057497865388724555	0.023381443555981894	0.039215477360741435	0.0733935801610961	0.020726585864107257	0.046908896620108644	0.12399734921731023	0.023449684976848593	3.531864950136124E-4	0.0776790110080122	0.44753811621274225
